id	stage	section	subsection	caption	timing	who	illo	mood	bg	template	pack	file
LC-001	Pregnancy	Before you arrived	Discovery	We found out	Day 0	Mama + Papa	mama and papa bear sitting close together, looking at a tiny glowing star between their paws	surprised tender joy	muted sage	T02 Couple Hero	Core	001_pregnancy_we_found_out.png
LC-002	Pregnancy	Before you arrived	Discovery	Two little lines	Day 0	Mama + Papa	mama bear holding a tiny keepsake strip-like object with no markings while papa bear smiles softly	happy tears	muted sage	T02 Couple Hero	Core	002_pregnancy_two_little_lines.png
LC-003	Pregnancy	Before you arrived	Discovery	Our secret begins	Weeks 4-8	Mama + Papa	mama and papa bear under a crescent moon, sharing a quiet secret	soft excited	muted sage	T02 Couple Hero	Core	003_pregnancy_our_secret_begins.png
LC-004	Pregnancy	Before you arrived	Discovery	A tiny miracle	Weeks 4-8	Mama + Papa	mama bear touching belly with one tiny sparkle near it while papa bear stands close	peaceful	muted sage	T02 Couple Hero	Core	004_pregnancy_a_tiny_miracle.png
LC-005	Pregnancy	Before you arrived	Discovery	We told Papa	Anytime	Mama + Papa	papa bear reacting with paws to cheeks while mama bear smiles beside him	delighted surprise	muted sage	T02 Couple Hero	Core	005_pregnancy_we_told_papa.png
LC-006	Pregnancy	Before you arrived	Discovery	We told Mama	Anytime	Mama + Papa	mama bear holding belly while papa bear gently hugs her	emotional	muted sage	T02 Couple Hero	Core	006_pregnancy_we_told_mama.png
LC-007	Pregnancy	Before you arrived	Discovery	Our first happy tears	Anytime	Mama + Papa	mama and papa bear hugging with tiny teardrop-like sparkles around them	tender	muted sage	T02 Couple Hero	Core	007_pregnancy_our_first_happy_tears.png
LC-008	Pregnancy	Before you arrived	Discovery	Baby bear is coming	Weeks 6-14	Mama + Papa	mama and papa bear with a tiny cub silhouette represented as a glowing heart shape between them	hopeful	muted sage	T02 Couple Hero	Core	008_pregnancy_baby_bear_is_coming.png
LC-009	Pregnancy	Before you arrived	Discovery	And then there were three	Weeks 8-14	Mama + Papa	two parent bears with a tiny baby cub icon nestled between their paws	joyful	muted sage	T02 Couple Hero	Core	009_pregnancy_and_then_there_were_three.png
LC-010	Pregnancy	Before you arrived	Discovery	Our little secret	Weeks 4-12	Mama + Papa	mama and papa bear whispering under soft stars	playful quiet	muted sage	T02 Couple Hero	Core	010_pregnancy_our_little_secret.png
LC-011	Pregnancy	Before you arrived	Medical & Memories	First doctor visit	Weeks 6-12	Mama + Papa	mama and papa bear walking paw-in-paw with a tiny medical bag icon beside them	calm	pale beige	T02 Couple Hero	Core	011_pregnancy_first_doctor_visit.png
LC-012	Pregnancy	Before you arrived	Medical & Memories	First ultrasound	Weeks 6-14	Mama + Papa	mama and papa bear holding a small blank photo frame with moon and star shapes inside	amazed	pale beige	T02 Couple Hero	Core	012_pregnancy_first_ultrasound.png
LC-013	Pregnancy	Before you arrived	Medical & Memories	We saw you today	Weeks 6-14	Mama + Papa	parent bears looking at a blank little frame with tiny sparkle	wonder	pale beige	T02 Couple Hero	Core	013_pregnancy_we_saw_you_today.png
LC-014	Pregnancy	Before you arrived	Medical & Memories	We heard your heartbeat	Weeks 8-16	Mama + Papa	papa bear gently listening near mama bear's belly while mama bear smiles	soft awe	pale beige	T02 Couple Hero	Core	014_pregnancy_we_heard_your_heartbeat.png
LC-015	Pregnancy	Before you arrived	Medical & Memories	First kick	Weeks 18-24	Mama + Papa	mama bear touching belly with a small sparkle burst near it	surprised happy	pale beige	T02 Couple Hero	Core	015_pregnancy_first_kick.png
LC-016	Pregnancy	Before you arrived	Medical & Memories	You kicked for Papa	Weeks 20-30	Mama + Papa	papa bear's paw resting gently near mama bear's belly, both smiling	proud	pale beige	T02 Couple Hero	Core	016_pregnancy_you_kicked_for_papa.png
LC-017	Pregnancy	Before you arrived	Medical & Memories	You kicked for Mama	Weeks 20-30	Mama + Papa	mama bear looking down at belly with soft sparkle accents	loving	pale beige	T02 Couple Hero	Core	017_pregnancy_you_kicked_for_mama.png
LC-018	Pregnancy	Before you arrived	Medical & Memories	First bump photo	Weeks 12-20	Mama + Papa	mama bear side pose with papa bear holding a tiny camera icon	gentle	pale beige	T02 Couple Hero	Core	018_pregnancy_first_bump_photo.png
LC-019	Pregnancy	Before you arrived	Medical & Memories	The bump is growing	Weeks 16-32	Mama + Papa	mama bear side pose with a soft ribbon shape nearby, no markings	content	pale beige	T02 Couple Hero	Core	019_pregnancy_the_bump_is_growing.png
LC-020	Pregnancy	Before you arrived	Medical & Memories	Halfway there	Week 20	Mama + Papa	mama and papa bear standing together under a half moon	proud	pale beige	T02 Couple Hero	Core	020_pregnancy_halfway_there.png
LC-021	Pregnancy	Before you arrived	Medical & Memories	We chose your name	Anytime	Mama + Papa	mama and papa bear holding a blank little name card shape with no text	warm	pale beige	T02 Couple Hero	Core	021_pregnancy_we_chose_your_name.png
